date,store_id,store_region,sku_id,category,units_sold,revenue,promo_flag,promo_type,price,inventory_level,store_size,holiday_flag
2023-04-02,8,East,149,Dairy,21,114.47999999999999,0,,5.3,289,Small,1
2022-10-06,9,East,141,Beverages,14,87.78,0,,6.27,118,Small,0
2023-01-31,9,East,112,Beverages,15,54.6,1,FlashSale,3.64,168,Large,0
2023-01-31,9,East,121,Household,15,143.55,0,,9.57,850,Small,0
2024-08-11,1,North,138,Personal Care,25,95.25599999999999,0,,3.78,128,Small,1
2022-12-05,8,North,101,Household,18,56.016000000000005,1,Discount,3.112,514,Large,0
2023-03-21,6,East,127,Snacks,15,138.75,0,,9.25,319,Medium,0
2024-12-17,4,North,141,Beverages,14,104.3,0,,7.45,508,Small,0
2024-07-22,5,South,144,Personal Care,21,204.96,0,,9.76,302,Small,0
2022-02-16,9,North,114,Beverages,21,147.42,0,,7.02,111,Medium,0
2024-01-06,8,South,112,Household,20,95.676,0,,4.69,415,Medium,1
2023-06-24,5,North,136,Dairy,15,118.404,0,,7.59,831,Small,1
2024-06-27,3,North,106,Snacks,22,117.26,0,,5.33,897,Medium,0
2024-05-26,5,East,133,Beverages,19,89.7024,1,FlashSale,4.672,953,Large,1
2024-03-05,1,North,133,Snacks,17,38.93,0,,2.29,744,Medium,0
2024-02-10,5,East,137,Personal Care,14,110.13119999999999,1,Discount,7.648000000000001,100,Large,1
2023-11-16,4,South,101,Beverages,12,96.72,0,,8.06,349,Medium,0
2023-03-14,6,East,150,Household,20,136.48,1,BuyOneGetOne,6.824,723,Large,0
2024-07-07,5,North,114,Snacks,15,105.3312,1,BuyOneGetOne,6.752,897,Large,1
2024-05-08,3,East,134,Household,21,133.98,0,,6.38,205,Large,0
2022-03-22,5,North,104,Snacks,12,112.92,0,,9.41,645,Medium,0
2022-02-22,2,North,143,Dairy,10,39.2,0,,3.92,194,Large,0
2024-06-18,8,North,103,Dairy,11,53.85600000000001,1,Discount,4.896000000000001,104,Medium,0
2023-08-27,10,North,122,Personal Care,15,99.684,0,,6.39,177,Medium,1
2024-03-04,9,East,122,Dairy,12,112.44,0,,9.37,724,Large,0
2023-12-20,8,South,114,Snacks,18,145.44,0,,8.08,798,Large,0
2024-10-27,3,East,123,Dairy,16,105.168,0,,6.26,114,Small,1
2023-04-30,10,East,117,Snacks,15,97.968,0,,6.28,493,Large,1
2022-08-21,2,East,136,Snacks,19,124.032,0,,6.46,712,Medium,1
2023-11-23,10,South,145,Personal Care,11,104.17,0,,9.47,723,Medium,0
2024-04-22,8,East,109,Dairy,12,74.4,0,,6.2,673,Small,0
2022-07-13,8,South,145,Household,11,32.032000000000004,1,FlashSale,2.9120000000000004,239,Large,0
2022-01-01,10,South,138,Personal Care,18,87.12,1,Discount,4.84,789,Medium,1
2022-09-18,7,South,144,Snacks,12,43.968,1,Discount,3.664,876,Large,1
2024-06-29,8,South,135,Beverages,16,148.008,0,,8.81,558,Small,1
2023-08-11,3,East,101,Household,19,165.87,0,,8.73,897,Large,0
2023-12-26,5,North,119,Dairy,20,113.12,1,Discount,5.656000000000001,395,Large,0
2023-09-08,3,North,138,Beverages,12,95.76,0,,7.98,602,Medium,0
2024-03-31,8,East,139,Dairy,21,117.72,0,,5.45,599,Large,1
2023-04-23,7,East,136,Personal Care,14,46.224,0,,3.21,353,Medium,1
2023-06-01,10,North,138,Personal Care,19,43.928000000000004,1,FlashSale,2.3120000000000003,146,Small,0
2022-05-10,3,East,136,Household,13,100.49000000000001,0,,7.73,122,Large,0
2022-12-12,10,North,140,Snacks,16,110.24,0,,6.89,987,Small,0
2022-05-07,10,North,128,Snacks,25,64.25999999999999,0,,2.55,712,Small,1
2023-02-24,6,East,101,Dairy,7,47.11,0,,6.73,535,Small,0
2022-04-27,10,North,135,Household,15,75.6,1,BuyOneGetOne,5.04,446,Small,0
2023-10-02,3,South,124,Beverages,21,125.79,0,,5.99,162,Large,0
2023-10-24,10,South,121,Beverages,16,43.776,1,Discount,2.736,162,Small,0
2023-07-15,7,North,132,Personal Care,22,118.104,0,,5.18,769,Small,1
2023-03-05,8,East,118,Beverages,18,147.6,0,,8.2,213,Medium,1
2024-08-04,4,North,108,Personal Care,18,46.800000000000004,0,,2.6,154,Medium,1
2024-10-28,1,North,103,Dairy,13,78.52,0,,6.04,150,Small,0
2024-10-03,8,South,135,Dairy,11,85.36,1,BuyOneGetOne,7.76,106,Medium,0
2024-02-14,1,East,121,Dairy,14,33.376,1,Discount,2.384,914,Small,0
2024-01-16,2,East,123,Household,18,155.70000000000002,0,,8.65,152,Large,0
2024-05-03,8,North,110,Dairy,14,128.24,0,,9.16,625,Small,0
2023-07-06,2,North,125,Beverages,15,37.32,1,BuyOneGetOne,2.488,826,Small,0
2022-03-16,6,South,121,Snacks,16,105.76,0,,6.61,477,Large,0
2022-12-08,5,East,131,Dairy,17,115.26,0,,6.78,784,Small,0
2024-07-10,5,South,146,Snacks,8,26.64,0,,3.33,893,Small,0
2022-05-29,8,East,136,Beverages,27,214.45199999999997,0,,7.77,763,Medium,1
2023-02-10,5,North,136,Household,15,39.6,1,Discount,2.64,581,Small,0
2022-06-03,2,North,109,Beverages,17,81.77,0,,4.81,124,Large,0
2022-05-11,2,North,144,Household,9,87.66,0,,9.74,916,Small,0
2024-11-06,10,North,149,Household,19,96.368,1,FlashSale,5.072,473,Medium,0
2023-04-11,9,East,126,Beverages,11,105.05000000000001,0,,9.55,349,Large,0
2022-12-01,5,East,109,Dairy,7,52.64,1,FlashSale,7.5200000000000005,542,Medium,0
2023-09-07,1,South,131,Dairy,20,129.8,0,,6.49,282,Large,0
2022-12-30,7,East,149,Household,16,133.28,0,,8.33,525,Medium,0
2022-11-07,3,South,134,Dairy,18,162.0,0,,9.0,344,Small,0
2022-09-29,8,East,110,Beverages,18,84.42,0,,4.69,528,Medium,0
2023-01-11,2,South,137,Beverages,14,47.263999999999996,1,FlashSale,3.376,443,Large,0
2022-03-02,5,East,106,Dairy,23,169.832,1,FlashSale,7.384,984,Large,0
2022-08-14,9,South,141,Beverages,16,129.83040000000003,1,Discount,7.728000000000001,161,Small,1
2022-08-04,3,East,138,Personal Care,16,60.64,0,,3.79,709,Large,0
2024-08-09,3,East,128,Personal Care,19,138.472,1,BuyOneGetOne,7.288,360,Large,0
2024-08-12,2,East,138,Dairy,8,62.32,0,,7.79,895,Small,0
2024-08-30,1,South,140,Personal Care,19,110.96,0,,5.84,965,Large,0
2022-08-04,3,North,148,Beverages,22,102.74,0,,4.67,766,Medium,0
2023-12-01,7,North,143,Personal Care,19,170.43,0,,8.97,462,Small,0
2022-03-23,4,South,114,Personal Care,12,72.72,0,,6.06,212,Small,0
2022-01-17,8,East,134,Household,12,19.872,1,BuyOneGetOne,1.656,332,Medium,0
2023-07-26,5,North,122,Household,23,77.97,0,,3.39,623,Medium,0
2023-02-05,10,South,101,Snacks,21,44.928,1,BuyOneGetOne,2.08,480,Large,1
2022-01-29,1,South,147,Dairy,12,48.239999999999995,0,,4.02,615,Small,1
2023-02-01,9,East,115,Personal Care,17,128.35,0,,7.55,948,Medium,0
2024-01-18,8,North,121,Personal Care,14,99.54,0,,7.11,626,Medium,0
2024-10-05,9,South,115,Household,13,61.1424,1,BuyOneGetOne,4.632000000000001,619,Large,1
2024-11-16,2,East,103,Personal Care,26,80.52,0,,3.05,657,Large,1
2024-01-04,7,North,144,Household,15,81.60000000000001,0,,5.44,600,Small,0
2023-01-21,8,East,113,Beverages,16,35.112,0,,2.09,706,Medium,1
2022-01-11,9,North,138,Beverages,9,20.88,0,,2.32,988,Medium,0
2023-08-15,6,South,128,Household,23,109.71,0,,4.77,324,Small,0
2023-08-12,4,South,122,Snacks,20,200.328,0,,9.82,205,Large,1
2023-03-04,1,East,103,Dairy,19,34.56,1,FlashSale,1.8,815,Medium,1
2022-04-21,7,East,120,Household,15,101.7,0,,6.78,799,Medium,0
2022-01-14,2,South,112,Household,13,34.112,1,BuyOneGetOne,2.624,784,Small,0
2022-11-05,7,East,144,Snacks,15,33.852,0,,2.17,158,Large,1
2024-07-12,10,East,135,Personal Care,12,30.96,0,,2.58,961,Small,0
2022-06-08,10,North,124,Household,18,126.54,0,,7.03,661,Small,0
2024-08-04,9,South,134,Household,14,103.56479999999999,1,BuyOneGetOne,7.192,742,Small,1
2023-06-14,8,North,115,Beverages,21,64.05,0,,3.05,625,Medium,0
2022-01-02,7,North,105,Personal Care,16,92.4,0,,5.5,330,Small,1
2022-05-10,7,South,117,Dairy,20,90.0,0,,4.5,548,Small,0
2024-07-07,10,East,114,Snacks,12,67.08,0,,5.59,875,Large,1
2024-08-29,1,North,120,Household,17,38.93,0,,2.29,596,Large,0
2023-09-12,4,South,114,Snacks,7,20.86,0,,2.98,134,Medium,0
2023-04-30,5,East,105,Beverages,30,181.79999999999998,0,,6.06,316,Medium,1
2024-11-28,8,East,143,Snacks,10,47.400000000000006,0,,4.74,407,Medium,0
2024-01-16,7,South,121,Beverages,12,94.19999999999999,0,,7.85,218,Medium,0
2023-03-03,10,South,150,Snacks,17,94.38400000000001,1,Discount,5.5520000000000005,246,Large,0
2024-12-12,5,North,126,Household,13,42.51,0,,3.27,188,Small,0
2023-08-08,5,North,131,Beverages,14,40.18,0,,2.87,496,Small,0
2024-04-30,1,South,107,Beverages,16,74.08,0,,4.63,927,Small,0
2022-11-01,1,East,144,Snacks,17,113.9,0,,6.7,876,Large,0
2022-03-26,10,South,106,Household,16,37.128,0,,2.21,392,Large,1
2024-02-22,7,South,146,Snacks,19,146.68,0,,7.72,435,Large,0
2023-02-03,9,East,115,Household,9,85.32000000000001,0,,9.48,472,Medium,0
2024-01-21,3,South,136,Snacks,12,49.92,1,BuyOneGetOne,4.16,450,Medium,1
2024-11-28,7,East,149,Snacks,19,52.89600000000001,1,BuyOneGetOne,2.7840000000000003,475,Small,0
2023-07-13,7,South,121,Household,16,61.12,0,,3.82,736,Medium,0
2023-08-07,8,North,126,Dairy,19,156.56,0,,8.24,301,Small,0
2022-05-26,3,South,133,Snacks,20,64.4,0,,3.22,760,Small,0
2023-10-24,5,East,135,Household,12,43.8,0,,3.65,540,Medium,0
2024-07-09,2,East,107,Personal Care,14,103.74000000000001,0,,7.41,558,Large,0
2023-12-01,3,South,138,Snacks,12,110.88,0,,9.24,775,Large,0
2022-03-14,8,North,106,Beverages,19,131.86,0,,6.94,527,Large,0
2022-06-09,5,South,108,Snacks,14,104.16000000000001,0,,7.44,229,Large,0
2024-02-09,6,North,135,Snacks,16,89.12,0,,5.57,552,Small,0
2022-10-14,9,East,116,Snacks,18,49.86,0,,2.77,747,Large,0
2022-08-25,7,East,140,Personal Care,12,94.80000000000001,0,,7.9,183,Medium,0
2023-02-10,2,East,132,Beverages,10,68.7,0,,6.87,903,Small,0
2022-04-24,2,North,121,Snacks,15,148.2,0,,9.5,506,Medium,1
2022-11-07,6,East,122,Dairy,14,92.39999999999999,0,,6.6,660,Medium,0
2023-11-09,2,North,135,Snacks,13,92.976,1,FlashSale,7.152,504,Large,0
2023-08-01,2,East,118,Household,22,115.808,1,BuyOneGetOne,5.264,209,Medium,0
2022-08-26,4,East,135,Beverages,10,86.0,0,,8.6,636,Large,0
2024-11-01,4,South,129,Household,13,114.53,0,,8.81,616,Large,0
2024-02-17,9,South,111,Snacks,12,29.52,0,,2.46,289,Medium,1
2024-06-01,7,North,104,Household,13,105.28320000000001,1,FlashSale,7.976000000000001,519,Medium,1
2024-12-22,5,East,135,Dairy,16,71.36640000000001,1,Discount,4.248,282,Medium,1
2023-02-09,6,South,115,Personal Care,15,121.2,0,,8.08,312,Medium,0
2022-08-30,5,North,118,Personal Care,9,87.12,0,,9.68,802,Small,0
2022-11-04,7,North,126,Household,17,151.64,0,,8.92,832,Small,0
2023-07-08,5,South,113,Beverages,15,150.38400000000001,0,,9.64,671,Small,1
2024-10-30,2,South,140,Personal Care,14,120.39999999999999,0,,8.6,178,Small,0
2024-08-13,7,North,119,Personal Care,17,134.3,0,,7.9,604,Large,0
2022-02-12,1,North,124,Dairy,16,28.224000000000004,1,Discount,1.6800000000000002,327,Large,1
2023-03-12,3,East,128,Dairy,20,69.15599999999999,0,,3.39,419,Medium,1
2024-09-18,1,East,108,Beverages,12,117.72,0,,9.81,316,Medium,0
2022-04-29,2,South,121,Household,15,52.08,1,BuyOneGetOne,3.472,387,Medium,0
2023-06-07,10,East,117,Snacks,14,53.199999999999996,0,,3.8,725,Medium,0
2023-02-18,4,North,144,Dairy,14,131.04,0,,9.1,730,Large,1
2023-05-12,9,East,118,Personal Care,19,152.76,0,,8.04,746,Large,0
2022-08-24,6,South,143,Beverages,10,95.0,0,,9.5,562,Large,0
2022-03-29,6,East,137,Personal Care,9,71.55,0,,7.95,129,Large,0
2022-04-18,9,North,147,Snacks,20,103.36,1,Discount,5.168,582,Medium,0
2023-04-18,10,North,146,Dairy,19,66.5,0,,3.5,697,Medium,0
2023-08-25,10,South,112,Beverages,18,37.62,0,,2.09,854,Large,0
2024-10-11,6,East,137,Snacks,16,79.2,0,,4.95,568,Medium,0
2024-05-20,5,South,138,Household,14,48.300000000000004,0,,3.45,320,Medium,0
2022-12-02,10,East,104,Snacks,17,115.43,0,,6.79,763,Small,0
2023-06-26,10,South,131,Household,10,61.4,0,,6.14,282,Small,0
2024-04-10,4,North,128,Dairy,13,105.69000000000001,0,,8.13,297,Large,0
2023-02-03,6,East,114,Household,16,81.12,0,,5.07,672,Medium,0
2022-02-19,3,North,143,Beverages,22,152.532,0,,6.69,646,Medium,1
2024-07-10,3,North,129,Personal Care,16,93.6,0,,5.85,394,Medium,0
2024-07-19,1,North,136,Beverages,10,32.7,0,,3.27,763,Small,0
2023-07-02,5,South,124,Household,14,33.983999999999995,0,,2.36,369,Medium,1
2022-07-24,6,North,145,Household,25,57.204,0,,2.27,295,Medium,1
2024-12-29,2,East,120,Personal Care,14,34.848,0,,2.42,413,Small,1
2024-09-10,1,East,125,Personal Care,9,61.83,0,,6.87,807,Large,0
2023-05-05,9,East,122,Beverages,8,49.52,0,,6.19,628,Medium,0
2024-08-23,6,South,101,Snacks,17,45.288000000000004,1,Discount,2.664,979,Large,0
2023-09-29,7,South,112,Household,19,73.72,1,FlashSale,3.88,490,Small,0
2023-06-16,10,East,104,Household,20,123.2,0,,6.16,779,Medium,0
2024-11-15,1,East,102,Beverages,12,33.0,0,,2.75,326,Medium,0
2023-11-10,4,East,125,Dairy,25,126.0,0,,5.04,685,Small,0
2022-06-13,5,North,108,Beverages,10,41.36,1,BuyOneGetOne,4.136,367,Medium,0
2024-02-14,3,North,103,Dairy,16,54.016,1,Discount,3.376,619,Small,0
2024-07-16,5,South,106,Dairy,15,108.72000000000001,1,BuyOneGetOne,7.248000000000001,769,Small,0
2024-07-12,6,South,131,Dairy,16,52.8,0,,3.3,892,Medium,0
2024-10-18,5,East,128,Personal Care,17,59.43200000000001,1,BuyOneGetOne,3.4960000000000004,494,Medium,0
2024-07-31,9,North,124,Snacks,11,75.24000000000001,1,BuyOneGetOne,6.840000000000001,859,Medium,0
2022-07-09,1,North,135,Household,13,121.96799999999999,0,,9.24,378,Medium,1
2022-09-30,5,East,130,Dairy,17,120.19,0,,7.07,347,Large,0
2023-03-30,9,North,108,Dairy,13,98.14999999999999,0,,7.55,326,Small,0
2024-08-06,4,South,136,Household,21,64.848,1,Discount,3.088,745,Large,0
2022-08-07,7,East,127,Snacks,24,133.92000000000002,0,,5.58,646,Large,1
2023-08-19,1,North,140,Snacks,22,221.84400000000002,0,,9.73,383,Small,1
2024-12-22,9,East,119,Household,18,52.199999999999996,0,,2.9,385,Small,1
2022-11-16,1,North,114,Dairy,18,46.62,0,,2.59,167,Medium,0
2023-11-26,1,South,112,Dairy,19,79.48799999999999,0,,4.14,403,Small,1
2024-10-09,9,North,109,Household,24,214.79999999999998,0,,8.95,442,Large,0
2022-11-28,6,South,147,Beverages,14,66.22,0,,4.73,278,Large,0
2022-12-14,4,South,112,Personal Care,12,117.24,0,,9.77,460,Small,0
2022-08-02,9,South,117,Personal Care,10,57.800000000000004,0,,5.78,548,Small,0
2022-04-03,1,East,140,Dairy,19,107.136,0,,5.58,148,Medium,1
2024-05-30,8,East,120,Household,14,59.92,0,,4.28,717,Large,0
2023-01-17,9,North,124,Personal Care,13,44.51200000000001,1,Discount,3.4240000000000004,140,Large,0
2023-02-01,3,East,113,Personal Care,14,72.24000000000001,0,,5.16,208,Small,0
2023-08-25,7,South,105,Beverages,12,85.08,0,,7.09,786,Medium,0
2024-09-16,1,East,136,Snacks,14,38.36,0,,2.74,140,Large,0
2024-08-16,9,South,102,Dairy,16,108.0,0,,6.75,183,Medium,0
2023-10-29,5,South,129,Dairy,14,90.28799999999998,0,,6.27,912,Large,1
2024-09-12,5,North,149,Beverages,14,109.62,0,,7.83,474,Small,0
2024-11-19,2,East,103,Household,15,99.45,0,,6.63,767,Small,0
2022-01-07,4,North,101,Beverages,15,143.55,0,,9.57,518,Large,0
2024-10-03,1,North,138,Personal Care,14,70.0,1,BuyOneGetOne,5.0,976,Medium,0
2024-04-16,8,East,103,Dairy,14,43.26,0,,3.09,361,Large,0
2022-05-05,5,South,142,Personal Care,13,112.84,0,,8.68,745,Medium,0
2022-07-20,1,North,113,Dairy,14,135.66,0,,9.69,167,Small,0
2022-11-01,2,North,122,Personal Care,13,112.71,0,,8.67,662,Medium,0
2022-12-07,5,East,139,Household,10,47.800000000000004,0,,4.78,210,Medium,0
2022-05-19,4,East,117,Dairy,16,144.64,0,,9.04,264,Large,0
2023-06-04,5,North,137,Household,19,177.792,0,,9.26,921,Small,1
2022-09-03,5,South,111,Household,18,44.28,0,,2.46,681,Small,1
2024-06-01,3,South,148,Household,15,73.25760000000001,1,FlashSale,4.696000000000001,686,Small,1
2023-02-11,9,East,150,Beverages,16,119.88480000000001,1,BuyOneGetOne,7.136,850,Large,1
2022-12-31,3,East,109,Household,14,29.231999999999996,0,,2.03,674,Medium,1
2023-03-19,5,North,147,Personal Care,18,169.38,0,,9.41,782,Large,1
2024-06-24,10,South,121,Household,17,143.48,0,,8.44,426,Medium,0
2023-10-09,3,North,136,Beverages,20,141.2,0,,7.06,802,Large,0
2024-03-12,4,South,131,Dairy,15,71.85,0,,4.79,756,Large,0
2022-06-11,10,South,102,Snacks,16,129.024,0,,7.68,731,Medium,1
2024-11-16,6,North,139,Personal Care,13,115.368,0,,8.74,502,Small,1
2023-12-27,1,East,123,Snacks,8,53.52,0,,6.69,113,Medium,0
2023-02-16,4,North,124,Household,12,37.68,0,,3.14,389,Medium,0
2022-12-20,9,North,115,Beverages,6,12.0,0,,2.0,393,Small,0
2024-03-28,8,North,106,Personal Care,22,209.44,0,,9.52,718,Large,0
2022-05-17,2,South,115,Dairy,9,39.384,1,FlashSale,4.376,317,Small,0
2024-07-17,9,East,110,Personal Care,12,92.4,0,,7.7,822,Small,0
2024-03-20,1,North,148,Household,9,80.37,0,,8.93,326,Small,0
2024-06-10,7,North,113,Snacks,18,115.56,0,,6.42,265,Large,0
2024-08-09,6,North,136,Personal Care,14,112.41999999999999,0,,8.03,903,Medium,0
2024-10-23,6,North,128,Beverages,13,118.55999999999999,0,,9.12,217,Medium,0
2023-07-19,5,South,146,Personal Care,14,70.42,0,,5.03,210,Medium,0
2022-01-17,6,North,143,Beverages,17,165.07000000000002,0,,9.71,255,Large,0
2023-04-10,8,South,112,Dairy,14,92.39999999999999,0,,6.6,520,Medium,0
2023-10-27,1,East,107,Household,16,114.08,0,,7.13,746,Large,0
2022-11-03,9,East,108,Beverages,11,75.35,0,,6.85,715,Large,0
2023-05-04,2,South,128,Personal Care,25,199.5,0,,7.98,332,Small,0
2022-12-28,9,South,125,Snacks,21,94.91999999999999,0,,4.52,590,Small,0
2024-12-08,4,South,124,Household,20,128.724,0,,6.31,981,Small,1
2022-12-27,8,South,133,Snacks,22,97.24,0,,4.42,689,Medium,0
2022-10-29,3,South,106,Personal Care,18,84.24,1,Discount,4.68,591,Medium,1
2022-09-29,4,East,148,Dairy,12,118.19999999999999,0,,9.85,118,Large,0
2022-11-07,6,South,118,Snacks,25,42.199999999999996,1,Discount,1.688,549,Medium,0
2023-06-04,10,South,132,Household,20,81.192,0,,3.98,699,Medium,1
2022-04-03,6,North,137,Snacks,19,158.97599999999997,0,,8.28,827,Medium,1
2024-05-21,2,East,108,Dairy,14,56.42,0,,4.03,272,Medium,0
2024-01-10,9,South,127,Snacks,18,179.1,0,,9.95,503,Small,0
2023-12-19,1,South,145,Household,14,71.25999999999999,0,,5.09,868,Medium,0
2022-06-03,4,East,110,Dairy,5,18.85,0,,3.77,453,Small,0
2024-01-03,4,North,111,Dairy,19,102.98,0,,5.42,298,Large,0
2022-11-23,10,North,121,Household,11,75.592,1,BuyOneGetOne,6.872,652,Large,0
2022-04-22,7,South,128,Beverages,20,98.2,0,,4.91,466,Large,0
2022-02-09,4,South,129,Snacks,15,129.0,0,,8.6,727,Large,0
2024-05-26,5,East,141,Beverages,15,104.832,0,,6.72,779,Large,1
2022-07-31,3,East,122,Household,20,198.492,0,,9.73,442,Medium,1
2022-11-02,5,North,148,Dairy,14,58.379999999999995,0,,4.17,121,Small,0
2022-11-06,5,North,116,Dairy,18,95.76,0,,5.32,579,Medium,1
2023-12-27,9,North,104,Household,16,112.96,0,,7.06,290,Small,0
2023-07-17,4,North,141,Snacks,14,106.12,0,,7.58,506,Medium,0
2022-06-16,9,North,134,Dairy,11,26.619999999999997,0,,2.42,344,Large,0
2023-07-15,7,North,117,Dairy,16,98.44800000000001,0,,5.86,468,Large,1
2022-02-12,4,East,140,Snacks,14,79.8336,1,FlashSale,5.5440000000000005,950,Medium,1
2024-06-07,1,North,140,Dairy,15,81.60000000000001,0,,5.44,339,Medium,0
2023-10-21,10,North,120,Household,22,159.6,0,,7.0,939,Large,1
2023-01-10,3,South,116,Dairy,10,70.19999999999999,0,,7.02,111,Medium,0
2022-11-27,5,East,112,Beverages,24,227.52,0,,9.48,987,Large,1
2024-11-22,2,North,119,Personal Care,19,49.02,0,,2.58,503,Small,0
2022-12-04,10,North,108,Snacks,32,145.152,1,BuyOneGetOne,4.4799999999999995,417,Small,1
2023-03-01,1,East,149,Household,15,38.849999999999994,0,,2.59,613,Medium,0
2022-06-15,6,South,143,Dairy,14,29.12,1,FlashSale,2.08,502,Large,0
2023-01-02,2,South,134,Dairy,14,69.86,0,,4.99,425,Small,0
2022-04-10,2,North,104,Beverages,19,56.448,0,,2.94,659,Small,1
2024-06-09,8,South,136,Snacks,19,95.808,0,,4.99,106,Small,1
2022-03-24,1,South,136,Beverages,9,78.48,0,,8.72,153,Medium,0
2023-01-02,4,North,109,Dairy,16,33.12,0,,2.07,269,Medium,0
2022-07-31,8,East,149,Personal Care,13,119.064,0,,9.02,901,Large,1
2022-03-02,2,East,133,Dairy,13,87.88,0,,6.76,738,Large,0
2022-11-15,8,South,103,Snacks,18,109.98,0,,6.11,608,Medium,0
2022-10-22,1,North,137,Beverages,16,38.303999999999995,0,,2.28,222,Medium,1
2023-11-11,4,South,143,Personal Care,18,148.85999999999999,0,,8.27,797,Small,1
2024-02-11,6,East,143,Household,21,79.488,0,,3.68,220,Small,1
2024-11-27,5,North,105,Beverages,20,69.80000000000001,0,,3.49,695,Large,0
2024-03-13,4,North,101,Household,16,150.4,0,,9.4,160,Large,0
2022-02-21,8,North,145,Personal Care,20,92.2,0,,4.61,236,Medium,0
2024-10-07,3,East,122,Beverages,18,159.66,0,,8.87,825,Small,0
2023-10-15,4,East,148,Personal Care,21,71.71199999999999,0,,3.32,117,Medium,1
2023-10-24,6,North,130,Beverages,20,106.19999999999999,0,,5.31,214,Medium,0
2024-10-31,7,East,147,Dairy,14,65.66000000000001,0,,4.69,580,Large,0
2022-07-14,10,East,142,Beverages,15,54.449999999999996,0,,3.63,192,Large,0
2022-07-24,1,North,129,Snacks,21,131.76,0,,6.1,413,Small,1
2024-03-31,1,North,117,Dairy,19,48.959999999999994,0,,2.55,515,Medium,1
2022-01-25,6,North,101,Personal Care,10,68.56,1,FlashSale,6.856000000000001,298,Medium,0
2022-12-05,3,South,141,Personal Care,14,82.18,0,,5.87,757,Large,0
2023-01-19,2,South,106,Household,20,69.0,0,,3.45,148,Small,0
2022-03-23,2,North,145,Household,13,129.74,0,,9.98,793,Medium,0
2022-02-09,7,South,104,Dairy,14,69.44,0,,4.96,355,Small,0
2024-06-23,2,North,115,Beverages,18,119.7,0,,6.65,929,Large,1
2023-04-30,3,North,107,Household,12,34.176,1,Discount,2.8480000000000003,998,Small,1
